时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
11:00:08,175668,1568,56.448,1430,51.48,0,0.0,0.0,68505.048,,221,815,0,5952,2,100
11:00:09,175668,1568,56.448,1430,51.48,1,0.036,0.002,68505.05,,221,810,0,6780,2,100
11:00:09,175668,1568,56.448,1430,51.48,2,0.072,0.006,68505.054,,221,820,0,7260,2,100
11:00:09,175667,1568,56.448,1430,51.48,5,0.18,0.016,68505.064,,221,815,0,7584,2,100
11:00:09,175665,1568,56.448,1430,51.48,7,0.252,0.03,68505.078,,221,815,0,7908,2,100
11:00:09,175663,1568,56.448,1430,51.48,12,0.432,0.054,68505.102,,221,810,0,8736,2,100
11:00:10,175659,1568,56.448,1430,51.48,18,0.648,0.09,68505.138,,221,805,0,9240,2,100
11:00:10,175655,1568,56.448,1430,51.48,21,0.756,0.132,68505.18,,221,805,0,9660,2,100
11:00:10,175649,1568,56.448,1430,51.48,29,1.044,0.19,68505.238,,221,810,0,10056,2,100
11:00:10,175642,1568,56.448,1430,51.48,36,1.296,0.262,68505.31,,221,805,0,10356,2,100
11:00:10,175634,1568,56.448,1430,51.48,42,1.512,0.346,68505.394,,221,805,0,11196,2,100
11:00:11,175623,1568,56.448,1430,51.48,52,1.872,0.45,68505.498,,221,800,0,11688,2,100
11:00:11,175611,1568,56.448,1430,51.48,62,2.232,0.574,68505.622,,221,800,0,12012,2,100
11:00:11,175596,1568,56.448,1430,51.48,72,2.592,0.718,68505.766,,221,800,13,12492,2,100
11:00:11,175580,1568,56.448,1430,51.48,84,3.024,0.886,68505.934,,221,810,27,12816,2,100
11:00:11,175560,1568,56.448,1430,51.48,96,3.456,1.078,68506.126,,221,805,55,13656,2,100
11:00:12,175538,1568,56.448,1430,51.48,109,3.924,1.296,68506.344,,221,805,55,14148,2,100
11:00:12,175514,1568,56.448,1430,51.48,122,4.392,1.54,68506.588,,221,810,55,14472,2,100
